"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Colebrook","0900516050","2005-2009","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2005-2009","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2005-2009","Hispanic or Latino","Number","Per Capita Income",43135
"Colebrook","0900516050","2005-2009","Hispanic or Latino","Number","Margins of Error",10839
"Colebrook","0900516050","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2005-2009","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2005-2009","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2005-2009","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2005-2009","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2005-2009","White Alone","Number","Per Capita Income",40461
"Colebrook","0900516050","2005-2009","White Alone","Number","Margins of Error",8883
"Colebrook","0900516050","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",40511
"Colebrook","0900516050","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",8988
"Colebrook","0900516050","2006-2010","All","Number","Per Capita Income",39324
"Colebrook","0900516050","2006-2010","All","Number","Margins of Error",5337
"Colebrook","0900516050","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2006-2010","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2006-2010","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2006-2010","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2006-2010","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2006-2010","Hispanic or Latino","Number","Per Capita Income",47441
"Colebrook","0900516050","2006-2010","Hispanic or Latino","Number","Margins of Error",8610
"Colebrook","0900516050","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2006-2010","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2006-2010","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2006-2010","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2006-2010","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2006-2010","White Alone","Number","Per Capita Income",39474
"Colebrook","0900516050","2006-2010","White Alone","Number","Margins of Error",5460
"Colebrook","0900516050","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",39435
"Colebrook","0900516050","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",5536
"Colebrook","0900516050","2007-2011","All","Number","Per Capita Income",40099
"Colebrook","0900516050","2007-2011","All","Number","Margins of Error",5885
"Colebrook","0900516050","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","Hispanic or Latino","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","Hispanic or Latino","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2007-2011","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2007-2011","White Alone","Number","Per Capita Income",40508
"Colebrook","0900516050","2007-2011","White Alone","Number","Margins of Error",6004
"Colebrook","0900516050","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",40774
"Colebrook","0900516050","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",5941
"Colebrook","0900516050","2008-2012","All","Number","Per Capita Income",40399
"Colebrook","0900516050","2008-2012","All","Number","Margins of Error",5868
"Colebrook","0900516050","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2008-2012","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2008-2012","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2008-2012","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2008-2012","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2008-2012","Hispanic or Latino","Number","Per Capita Income",12367
"Colebrook","0900516050","2008-2012","Hispanic or Latino","Number","Margins of Error",29026
"Colebrook","0900516050","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2008-2012","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2008-2012","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2008-2012","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2008-2012","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2008-2012","White Alone","Number","Per Capita Income",40606
"Colebrook","0900516050","2008-2012","White Alone","Number","Margins of Error",5936
"Colebrook","0900516050","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",40954
"Colebrook","0900516050","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",5918
"Colebrook","0900516050","2009-2013","All","Number","Per Capita Income",37227
"Colebrook","0900516050","2009-2013","All","Number","Margins of Error",3508
"Colebrook","0900516050","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2009-2013","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2009-2013","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2009-2013","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2009-2013","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2009-2013","Hispanic or Latino","Number","Per Capita Income",9071
"Colebrook","0900516050","2009-2013","Hispanic or Latino","Number","Margins of Error",19323
"Colebrook","0900516050","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2009-2013","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2009-2013","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2009-2013","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2009-2013","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2009-2013","White Alone","Number","Per Capita Income",37689
"Colebrook","0900516050","2009-2013","White Alone","Number","Margins of Error",3515
"Colebrook","0900516050","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",38097
"Colebrook","0900516050","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",3480
"Colebrook","0900516050","2010-2014","All","Number","Per Capita Income",36068
"Colebrook","0900516050","2010-2014","All","Number","Margins of Error",3702
"Colebrook","0900516050","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2010-2014","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2010-2014","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2010-2014","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2010-2014","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2010-2014","Hispanic or Latino","Number","Per Capita Income",11536
"Colebrook","0900516050","2010-2014","Hispanic or Latino","Number","Margins of Error",20658
"Colebrook","0900516050","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2010-2014","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2010-2014","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2010-2014","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2010-2014","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2010-2014","White Alone","Number","Per Capita Income",36462
"Colebrook","0900516050","2010-2014","White Alone","Number","Margins of Error",3748
"Colebrook","0900516050","2010-2014","White Alone Not Hispanic or Latino","Number","Per Capita Income",36866
"Colebrook","0900516050","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",3750
"Colebrook","0900516050","2011-2015","All","Number","Per Capita Income",34330
"Colebrook","0900516050","2011-2015","All","Number","Margins of Error",2824
"Colebrook","0900516050","2011-2015","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2011-2015","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2011-2015","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2011-2015","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2011-2015","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2011-2015","Hispanic or Latino","Number","Per Capita Income",9472
"Colebrook","0900516050","2011-2015","Hispanic or Latino","Number","Margins of Error",17397
"Colebrook","0900516050","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2011-2015","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2011-2015","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2011-2015","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2011-2015","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2011-2015","White Alone","Number","Per Capita Income",34759
"Colebrook","0900516050","2011-2015","White Alone","Number","Margins of Error",2892
"Colebrook","0900516050","2011-2015","White Alone Not Hispanic or Latino","Number","Per Capita Income",35160
"Colebrook","0900516050","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",2908
"Colebrook","0900516050","2012-2016","All","Number","Per Capita Income",34196
"Colebrook","0900516050","2012-2016","All","Number","Margins of Error",3159
"Colebrook","0900516050","2012-2016","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2012-2016","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2012-2016","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2012-2016","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2012-2016","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2012-2016","Hispanic or Latino","Number","Per Capita Income",12600
"Colebrook","0900516050","2012-2016","Hispanic or Latino","Number","Margins of Error",9234
"Colebrook","0900516050","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2012-2016","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2012-2016","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2012-2016","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2012-2016","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2012-2016","White Alone","Number","Per Capita Income",34690
"Colebrook","0900516050","2012-2016","White Alone","Number","Margins of Error",3255
"Colebrook","0900516050","2012-2016","White Alone Not Hispanic or Latino","Number","Per Capita Income",34874
"Colebrook","0900516050","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",3319
"Colebrook","0900516050","2013-2017","All","Number","Per Capita Income",37116
"Colebrook","0900516050","2013-2017","All","Number","Margins of Error",3219
"Colebrook","0900516050","2013-2017","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2013-2017","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2013-2017","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2013-2017","Black or African American Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2013-2017","Black or African American Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2013-2017","Hispanic or Latino","Number","Per Capita Income",34677
"Colebrook","0900516050","2013-2017","Hispanic or Latino","Number","Margins of Error",30289
"Colebrook","0900516050","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2013-2017","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2013-2017","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2013-2017","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2013-2017","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2013-2017","White Alone","Number","Per Capita Income",37649
"Colebrook","0900516050","2013-2017","White Alone","Number","Margins of Error",3353
"Colebrook","0900516050","2013-2017","White Alone Not Hispanic or Latino","Number","Per Capita Income",37472
"Colebrook","0900516050","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",3314
"Colebrook","0900516050","2014-2018","All","Number","Per Capita Income",40893
"Colebrook","0900516050","2014-2018","All","Number","Margins of Error",3359
"Colebrook","0900516050","2014-2018","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2014-2018","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2014-2018","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2014-2018","Black or African American Alone","Number","Per Capita Income",39188
"Colebrook","0900516050","2014-2018","Black or African American Alone","Number","Margins of Error",43975
"Colebrook","0900516050","2014-2018","Hispanic or Latino","Number","Per Capita Income",39748
"Colebrook","0900516050","2014-2018","Hispanic or Latino","Number","Margins of Error",38061
"Colebrook","0900516050","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2014-2018","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2014-2018","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2014-2018","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2014-2018","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2014-2018","White Alone","Number","Per Capita Income",41379
"Colebrook","0900516050","2014-2018","White Alone","Number","Margins of Error",3429
"Colebrook","0900516050","2014-2018","White Alone Not Hispanic or Latino","Number","Per Capita Income",41130
"Colebrook","0900516050","2014-2018","White Alone Not Hispanic or Latino","Number","Margins of Error",3473
"Colebrook","0900516050","2015-2019","All","Number","Per Capita Income",44430
"Colebrook","0900516050","2015-2019","All","Number","Margins of Error",3880
"Colebrook","0900516050","2015-2019","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2015-2019","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2015-2019","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2015-2019","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2015-2019","Black or African American Alone","Number","Per Capita Income",38427
"Colebrook","0900516050","2015-2019","Black or African American Alone","Number","Margins of Error",46533
"Colebrook","0900516050","2015-2019","Hispanic or Latino","Number","Per Capita Income",48009
"Colebrook","0900516050","2015-2019","Hispanic or Latino","Number","Margins of Error",50369
"Colebrook","0900516050","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2015-2019","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2015-2019","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2015-2019","Two or More Races","Number","Per Capita Income",-9999
"Colebrook","0900516050","2015-2019","Two or More Races","Number","Margins of Error",-9999
"Colebrook","0900516050","2015-2019","White Alone","Number","Per Capita Income",45072
"Colebrook","0900516050","2015-2019","White Alone","Number","Margins of Error",4097
"Colebrook","0900516050","2015-2019","White Alone Not Hispanic or Latino","Number","Per Capita Income",44671
"Colebrook","0900516050","2015-2019","White Alone Not Hispanic or Latino","Number","Margins of Error",4122
"Colebrook","0900516050","2016-2020","All","Number","Per Capita Income",48860
"Colebrook","0900516050","2016-2020","All","Number","Margins of Error",6231
"Colebrook","0900516050","2016-2020","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2016-2020","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2016-2020","Asian Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2016-2020","Asian Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2016-2020","Black or African American Alone","Number","Per Capita Income",27152
"Colebrook","0900516050","2016-2020","Black or African American Alone","Number","Margins of Error",42222
"Colebrook","0900516050","2016-2020","Hispanic or Latino","Number","Per Capita Income",46065
"Colebrook","0900516050","2016-2020","Hispanic or Latino","Number","Margins of Error",38026
"Colebrook","0900516050","2016-2020","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Colebrook","0900516050","2016-2020","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Colebrook","0900516050","2016-2020","Some Other Race Alone","Number","Per Capita Income",-9999
"Colebrook","0900516050","2016-2020","Some Other Race Alone","Number","Margins of Error",-9999
"Colebrook","0900516050","2016-2020","Two or More Races","Number","Per Capita Income",241224
"Colebrook","0900516050","2016-2020","Two or More Races","Number","Margins of Error",93711
"Colebrook","0900516050","2016-2020","White Alone","Number","Per Capita Income",46287
"Colebrook","0900516050","2016-2020","White Alone","Number","Margins of Error",3932
"Colebrook","0900516050","2016-2020","White Alone Not Hispanic or Latino","Number","Per Capita Income",45711
"Colebrook","0900516050","2016-2020","White Alone Not Hispanic or Latino","Number","Margins of Error",3836
"Columbia","0901316400","2005-2009","All","Number","Per Capita Income",34242
"Columbia","0901316400","2005-2009","All","Number","Margins of Error",2546
"Columbia","0901316400","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2005-2009","Asian Alone","Number","Per Capita Income",20036
"Columbia","0901316400","2005-2009","Asian Alone","Number","Margins of Error",13798
"Columbia","0901316400","2005-2009","Black or African American Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2005-2009","Black or African American Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2005-2009","Hispanic or Latino","Number","Per Capita Income",26816
"Columbia","0901316400","2005-2009","Hispanic or Latino","Number","Margins of Error",15091
"Columbia","0901316400","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Columbia","0901316400","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Columbia","0901316400","2005-2009","Some Other Race Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2005-2009","Some Other Race Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2005-2009","Two or More Races","Number","Per Capita Income",55279
"Columbia","0901316400","2005-2009","Two or More Races","Number","Margins of Error",51246
"Columbia","0901316400","2005-2009","White Alone","Number","Per Capita Income",34213
"Columbia","0901316400","2005-2009","White Alone","Number","Margins of Error",2607
"Columbia","0901316400","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",34346
"Columbia","0901316400","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",2673
"Columbia","0901316400","2006-2010","All","Number","Per Capita Income",36865
"Columbia","0901316400","2006-2010","All","Number","Margins of Error",2975
"Columbia","0901316400","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2006-2010","Asian Alone","Number","Per Capita Income",12425
"Columbia","0901316400","2006-2010","Asian Alone","Number","Margins of Error",8746
"Columbia","0901316400","2006-2010","Black or African American Alone","Number","Per Capita Income",37476
"Columbia","0901316400","2006-2010","Black or African American Alone","Number","Margins of Error",9238
"Columbia","0901316400","2006-2010","Hispanic or Latino","Number","Per Capita Income",24314
"Columbia","0901316400","2006-2010","Hispanic or Latino","Number","Margins of Error",14951
"Columbia","0901316400","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Columbia","0901316400","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Columbia","0901316400","2006-2010","Some Other Race Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2006-2010","Some Other Race Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2006-2010","Two or More Races","Number","Per Capita Income",53520
"Columbia","0901316400","2006-2010","Two or More Races","Number","Margins of Error",37170
"Columbia","0901316400","2006-2010","White Alone","Number","Per Capita Income",36854
"Columbia","0901316400","2006-2010","White Alone","Number","Margins of Error",2913
"Columbia","0901316400","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",37142
"Columbia","0901316400","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",2977
"Columbia","0901316400","2007-2011","All","Number","Per Capita Income",38892
"Columbia","0901316400","2007-2011","All","Number","Margins of Error",3305
"Columbia","0901316400","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2007-2011","Asian Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2007-2011","Asian Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2007-2011","Black or African American Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2007-2011","Black or African American Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2007-2011","Hispanic or Latino","Number","Per Capita Income",29315
"Columbia","0901316400","2007-2011","Hispanic or Latino","Number","Margins of Error",16001
"Columbia","0901316400","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Columbia","0901316400","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Columbia","0901316400","2007-2011","Some Other Race Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2007-2011","Some Other Race Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2007-2011","Two or More Races","Number","Per Capita Income",29994
"Columbia","0901316400","2007-2011","Two or More Races","Number","Margins of Error",28294
"Columbia","0901316400","2007-2011","White Alone","Number","Per Capita Income",39330
"Columbia","0901316400","2007-2011","White Alone","Number","Margins of Error",3325
"Columbia","0901316400","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",39509
"Columbia","0901316400","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",3459
"Columbia","0901316400","2008-2012","All","Number","Per Capita Income",40357
"Columbia","0901316400","2008-2012","All","Number","Margins of Error",3704
"Columbia","0901316400","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2008-2012","Asian Alone","Number","Per Capita Income",14671
"Columbia","0901316400","2008-2012","Asian Alone","Number","Margins of Error",14899
"Columbia","0901316400","2008-2012","Black or African American Alone","Number","Per Capita Income",40887
"Columbia","0901316400","2008-2012","Black or African American Alone","Number","Margins of Error",29295
"Columbia","0901316400","2008-2012","Hispanic or Latino","Number","Per Capita Income",-9999
"Columbia","0901316400","2008-2012","Hispanic or Latino","Number","Margins of Error",-9999
"Columbia","0901316400","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Columbia","0901316400","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Columbia","0901316400","2008-2012","Some Other Race Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2008-2012","Some Other Race Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2008-2012","Two or More Races","Number","Per Capita Income",43367
"Columbia","0901316400","2008-2012","Two or More Races","Number","Margins of Error",50596
"Columbia","0901316400","2008-2012","White Alone","Number","Per Capita Income",40496
"Columbia","0901316400","2008-2012","White Alone","Number","Margins of Error",2821
"Columbia","0901316400","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",40630
"Columbia","0901316400","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",2792
"Columbia","0901316400","2009-2013","All","Number","Per Capita Income",40206
"Columbia","0901316400","2009-2013","All","Number","Margins of Error",4952
"Columbia","0901316400","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2009-2013","Asian Alone","Number","Per Capita Income",24108
"Columbia","0901316400","2009-2013","Asian Alone","Number","Margins of Error",16651
"Columbia","0901316400","2009-2013","Black or African American Alone","Number","Per Capita Income",30541
"Columbia","0901316400","2009-2013","Black or African American Alone","Number","Margins of Error",31746
"Columbia","0901316400","2009-2013","Hispanic or Latino","Number","Per Capita Income",-9999
"Columbia","0901316400","2009-2013","Hispanic or Latino","Number","Margins of Error",-9999
"Columbia","0901316400","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Columbia","0901316400","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Columbia","0901316400","2009-2013","Some Other Race Alone","Number","Per Capita Income",-9999
"Columbia","0901316400","2009-2013","Some Other Race Alone","Number","Margins of Error",-9999
"Columbia","0901316400","2009-2013","Two or More Races","Number","Per Capita Income",40239
"Columbia","0901316400","2009-2013","Two or More Races","Number","Margins of Error",60964
"Columbia","0901316400","2009-2013","White Alone","Number","Per Capita Income",40689
"Columbia","0901316400","2009-2013","White Alone","Number","Margins of Error",3679
"Columbia","0901316400","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",40717
"Columbia","0901316400","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",3725
